"ID","Handle","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: fixmytoys.bwpid [single_line_text_field]","Metafield: fixmytoys.brand [single_line_text_field]","Metafield: fixmytoys.model [single_line_text_field]","Metafield: fixmytoys.equipmenttype [single_line_text_field]","Metafield: fixmytoys.submodel [single_line_text_field]","Metafield: fixmytoys.year [single_line_text_field]","Metafield: fixmytoys.breadcrumbs [single_line_text_field]","Metafield: fixmytoys.manufacturer [single_line_text_field]"
"171654578257","1985-arctic-cat-panther","1985 Arctic Cat Panther | Parts and Accessories","IN-STOCK OEM Arctic Cat Snowmobile  Parts & Accessories. SAME-DAY Ship on 1985 Arctic Cat Panther Parts to get You Up and Running again.","1001477,1380935","Arctic Cat","Panther","Snowmobile","Panther","1985","1985|pages/oem-parts?brand=Arctic%20Cat&year=1985,Arctic Cat|pages/oem-parts?brand=Arctic%20Cat,Panther|collections/1985-arctic-cat-panther",""
"171653824593","1985-arctic-cat-cougar","1985 Arctic Cat Cougar | Parts and Accessories","IN-STOCK OEM Arctic Cat Snowmobile  Parts & Accessories. SAME-DAY Ship on 1985 Arctic Cat Cougar Parts to get You Up and Running again.","1001476,1001480,1378872,1386662","Arctic Cat","Cougar","Snowmobile","Cougar","1985","1985|pages/oem-parts?brand=Arctic%20Cat&year=1985,Arctic Cat|pages/oem-parts?brand=Arctic%20Cat,Cougar|collections/1985-arctic-cat-cougar",""
"171654643793","1985-honda-aero-80","1985 Honda Aero 80 | Parts and Accessories","IN-STOCK OEM Honda Scooter  Parts & Accessories. SAME-DAY Ship on 1985 Honda Aero 80 Parts to get You Up and Running again.","1372876","Honda","Aero 80","Scooter","0350021U,Aero 0350002U","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,Aero 80|collections/1985-honda-aero-80",""
"171654774865","1985-honda-atc200s","1985 Honda ATC200S | Parts and Accessories","IN-STOCK OEM Honda ATV  Parts & Accessories. SAME-DAY Ship on 1985 Honda ATC200S Parts to get You Up and Running again.","1112051,1381223","Honda","ATC200S","ATV","ATC200S","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,ATC200S|collections/1985-honda-atc200s",""
"171654709329","1985-honda-atc125m","1985 Honda ATC125M | Parts and Accessories","IN-STOCK OEM Honda ATV  Parts & Accessories. SAME-DAY Ship on 1985 Honda ATC125M Parts to get You Up and Running again.","1112049,1382068","Honda","ATC125M","ATV","ATC125M","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,ATC125M|collections/1985-honda-atc125m",""
"171654742097","1985-honda-atc200m","1985 Honda ATC200M | Parts and Accessories","IN-STOCK OEM Honda ATV  Parts & Accessories. SAME-DAY Ship on 1985 Honda ATC200M Parts to get You Up and Running again.","1112050,1384702","Honda","ATC200M","ATV","ATC200M","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,ATC200M|collections/1985-honda-atc200m",""
"171653857361","1985-arctic-cat-el-tigre-6000","1985 Arctic Cat El Tigre 6000 | Parts and Accessories","IN-STOCK OEM Arctic Cat Snowmobile  Parts & Accessories. SAME-DAY Ship on 1985 Arctic Cat El Tigre 6000 Parts to get You Up and Running again.","1001474,1379414","Arctic Cat","El Tigre 6000","Snowmobile","El Tigre 6000","1985","1985|pages/oem-parts?brand=Arctic%20Cat&year=1985,Arctic Cat|pages/oem-parts?brand=Arctic%20Cat,El Tigre 6000|collections/1985-arctic-cat-el-tigre-6000",""
"171655069777","1985-honda-cr250r","1985 Honda CR250R | Parts and Accessories","IN-STOCK OEM Honda Off-road Motorcycle  Parts & Accessories. SAME-DAY Ship on 1985 Honda CR250R Parts to get You Up and Running again.","1113456,1348351","Honda","CR250R","Off-road Motorcycle","CR250R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,CR250R|collections/1985-honda-cr250r",""
"171654840401","1985-honda-atc250r","1985 Honda ATC250R | Parts and Accessories","IN-STOCK OEM Honda ATV  Parts & Accessories. SAME-DAY Ship on 1985 Honda ATC250R Parts to get You Up and Running again.","1112054,1389330","Honda","ATC250R","ATV","ATC250R","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,ATC250R|collections/1985-honda-atc250r",""
"171654807633","1985-honda-atc200x","1985 Honda ATC200X | Parts and Accessories","IN-STOCK OEM Honda ATV  Parts & Accessories. SAME-DAY Ship on 1985 Honda ATC200X Parts to get You Up and Running again.","1112052,1389463","Honda","ATC200X","ATV","ATC200X","1985","1985|pages/oem-parts?brand=Honda&year=1985,Honda|pages/oem-parts?brand=Honda,ATC200X|collections/1985-honda-atc200x",""
